T,o,h,l,c,v
1609746300000.0,31987.2,32188.0,31800.0,32068.8,1390.1396
1609747200000.0,32068.80078125,32567.900390625,32056.5,32416.19921875,1409.4248046875
1609748100000.0,32416.2,32478.9,32100.0,32157.4,1069.8487
1609749000000.0,32157.4,32282.3,31750.0,31753.5,1745.9065
1609749900000.0,31753.5,32095.6,31450.0,32045.1,2304.0754
1609750800000.0,32045.2,32152.2,31633.4,31718.5,1202.2638
1609751700000.0,31718.5,31999.9,31520.0,31583.1,1399.0275000000001
1609752600000.0,31583.099609375,31583.19921875,30248.80078125,30948.30078125,5927.9677734375
1609753500000.0,30948.5,31288.900390625,30575.599609375,31038.599609375,2742.636474609375
1609754400000.0,31038.3,31227.3,29564.0,29800.0,3830.0694
1609755300000.0,29800.0,31099.5,28130.0,29071.900390625,8137.46923828125
1609756200000.0,29071.2,29801.9,28830.1,29738.1,3621.603
1609757100000.0,29744.19921875,30435.900390625,29723.69921875,30270.80078125,3787.695068359375
1609758000000.0,30270.8,30533.0,29400.0,29933.3,3518.961
1609758900000.0,29927.0,30320.4,29603.0,30213.2,2401.97
1609759800000.0,30214.5,30272.5,29900.0,30254.3,1378.3492
1609760700000.0,30251.9,30900.2,30080.0,30743.1,2114.2122
1609761600000.0,30743.0,30927.0,30454.30078125,30900.0,1994.8245849609375
1609762500000.0,30900.0,31232.1,30780.0,31021.9,2698.858
1609763400000.0,31018.3,31300.0,30860.0,31253.7,1711.7194
1609764300000.0,31253.80078125,31434.099609375,30970.0,31219.0,1911.4781494140625
1609765200000.0,31219.0,31227.1,30833.3,30929.9,1669.1651
1609766100000.0,30930.599609375,31188.5,30600.0,31149.19921875,1541.2176513671875
1609767000000.0,31149.2,31263.7,30806.1,30988.2,1115.6278
1609767900000.0,30988.19921875,31400.0,30818.80078125,31400.0,1148.6451416015625
1609768800000.0,31400.0,31800.0,31400.0,31562.0,2201.0304
1609769700000.0,31562.0,31781.2,31553.8,31735.2,1143.966
1609770600000.0,31735.2,31926.1,31640.8,31923.8,1869.6465
1609771500000.0,31924.7,32167.9,31768.3,32113.7,2264.7429
1609772400000.0,32113.7,32185.7,31796.7,31820.0,2032.1879000000001
1609773300000.0,31820.0,32050.0,31659.9,32033.3,1065.3254
1609774200000.0,32032.5,32032.5,31715.0,31840.6,951.2765
1609775100000.0,31838.5,31848.6,31550.0,31745.7,1272.8298
1609776000000.0,31745.7,31920.0,31125.8,31238.4,2604.2114
1609776900000.0,31237.1,31445.2,30748.3,31083.5,2548.5744
1609777800000.0,31083.5,31217.3,30723.0,31173.6,1810.0042
1609778700000.0,31173.6,31423.6,31050.0,31320.3,1211.4946
1609779600000.0,31320.3,31523.0,30966.2,30983.6,1183.0542
1609780500000.0,30987.0,31310.599609375,30892.69921875,31002.80078125,1204.4488525390625
1609781400000.0,31005.0,31100.0,30788.7,30815.8,1235.7069999999999
1609782300000.0,30813.7,31079.0,30626.4,31024.2,1339.3536
1609783200000.0,31022.3,31282.0,31007.0,31176.1,1061.7097
1609784100000.0,31176.1,31445.0,31001.0,31442.5,921.4491
1609785000000.0,31435.69921875,31465.400390625,31252.599609375,31319.5,680.742919921875
1609785900000.0,31319.5,31375.2,31062.9,31165.2,697.5388
1609786800000.0,31165.2,31345.3,31111.0,31129.6,599.936
1609787700000.0,31129.6,31471.9,31105.0,31405.6,763.0868
1609788600000.0,31405.599609375,31855.80078125,31400.5,31675.400390625,1244.0367431640625
1609789500000.0,31673.0,31724.3,31571.4,31665.5,781.3129
1609790400000.0,31665.5,31831.0,31461.7,31544.4,1013.5682
1609791300000.0,31544.4,31667.9,31344.2,31384.2,735.3215
1609792200000.0,31384.2,31500.0,31275.0,31368.5,531.3824
1609793100000.0,31367.8,31470.0,31210.0,31245.0,570.6903
1609794000000.0,31245.0,31579.0,31240.0,31566.5,600.5234
1609794900000.0,31566.80078125,31571.30078125,30993.5,31091.599609375,847.9096069335938
1609795800000.0,31091.6,31196.1,30865.8,30905.0,1074.3868
1609796700000.0,30905.0,31115.0,30856.1,31014.3,679.6358
1609797600000.0,31014.3,31233.8,30950.0,31198.4,369.0262
1609798500000.0,31198.5,31336.3,31100.0,31296.4,427.2837
1609799400000.0,31296.4,31469.4,31220.2,31458.1,399.93417
1609800300000.0,31458.1,31474.8,31309.9,31332.0,450.2403
1609801200000.0,31332.0,31394.3,31200.0,31282.1,446.8888
1609802100000.0,31281.5,31840.0,31150.0,31745.5,1221.0814
1609803000000.0,31745.5,31948.6,31575.7,31884.6,1379.2989
1609803900000.0,31884.5,32031.0,31791.6,31988.7,1146.3781
1609804800000.0,31989.80078125,32500.0,31989.69921875,32493.69921875,2563.98193359375
1609805700000.0,32493.69921875,32500.0,32200.0,32323.69921875,1438.441650390625
1609806600000.0,32326.2,32853.4,32278.9,32805.7,2103.3962
